"","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part","ver"
"1",1,0.565685424949238,0.526007140657384,"Exp1","mixed","IP",0,0.589960098361319,0.0960830915034921,0.589686645413776,0.724035215810326,0,0.923213503246153,0.724035215810326,0.275964784189674,0.724035215810326,0.724035215810326,"all","linear"
"2",1,1.2,1.19783450840987,"Exp1","mixed","IP",0,1.39700865558787,0.198934334299583,1.39753931861019,0.314907594207292,0,0.200313926298324,0.314907594207292,0.685092405792708,0.314907594207292,0.314907594207292,"all","linear"
"3",1,0.8,0.717920096783928,"Exp1","mixed","IP",0,0.631642129082915,0.0986814384482126,0.632029961289124,0.838807582501984,0,0.894853369707207,0.838807582501984,0.161192417498016,0.838807582501984,0.838807582501984,"all","linear"
"4",1,1.69705627484772,1.47795791490353,"Exp1","mixed","IP",0,1.75851206664148,0.238573780909048,1.75802848081112,0.477433549623705,0,0.0154026035209894,0.477433549623705,0.522566450376295,0.477433549623705,0.477433549623705,"all","linear"
"5",1,0.672717132202972,0.773946270903252,"Exp1","mixed","IP",0,0.614906537145962,0.0975126257315622,0.61442123709012,0.786938831070641,0,0.911699239975761,0.786938831070641,0.213061168929359,0.786938831070641,0.786938831070641,"all","linear"
"6",1,0.8,0.829871990645188,"Exp1","mixed","IP",0,0.631642129082915,0.0986814384482126,0.631440646508672,0.838807582501984,0,0.896040633109835,0.838807582501984,0.161192417498016,0.838807582501984,0.838807582501984,"all","linear"
"7",1,0.672717132202972,0.56597492061519,"Exp1","mixed","IP",0,0.614906537145962,0.0975126257315622,0.614714958357166,0.786938831070641,0,0.909815844973708,0.786938831070641,0.213061168929359,0.786938831070641,0.786938831070641,"all","linear"
"8",1,2.01815139660892,1.24593473886489,"Exp1","mixed","IP",0,1.90991148865231,0.257047909167984,1.910708589093,0.562911010388431,0,-0.0552951698551368,0.562911010388431,0.437088989611569,0.562911010388431,0.562911010388431,"all","linear"
"9",1,1.69705627484772,0.941986539735808,"Exp1","mixed","IP",0,1.75851206664148,0.238573780909048,1.75836310560212,0.477433549623705,0,0.0216271726046448,0.477433549623705,0.522566450376295,0.477433549623705,0.477433549623705,"all","linear"
"10",1,0.565685424949238,0.653942476650627,"Exp1","mixed","IP",0,0.589960098361319,0.0960830915034921,0.590163659514849,0.724035215810326,0,0.9285412008182,0.724035215810326,0.275964784189674,0.724035215810326,0.724035215810326,"all","linear"
"11",1,2.4,1.30997300482886,"Exp1","mixed","IP",0,2.02983028776582,0.273621369100537,2.0321475671467,0.644837840317081,0,-0.12485573778183,0.644837840317081,0.355162159682919,0.644837840317081,0.644837840317081,"all","linear"
"12",1,1.2,1.34996815316299,"Exp1","mixed","IP",0,1.39700865558787,0.198934334299583,1.39638523454334,0.314907594207292,0,0.197760712957034,0.314907594207292,0.685092405792708,0.314907594207292,0.314907594207292,"all","linear"
"13",1,0.475682846001088,0.589955215385999,"Exp1","mixed","IP",0,0.556065092368594,0.094405836791202,0.556584863236243,0.650973422759874,0,0.947584134019175,0.650973422759874,0.349026577240126,0.650973422759874,0.650973422759874,"all","linear"
"14",1,0.4,0.421965018240371,"Exp1","mixed","IP",0,0.513531729116098,0.0925300800754549,0.513214245461099,0.57020307129124,0,0.964073341804576,0.57020307129124,0.42979692870876,0.57020307129124,0.57020307129124,"all","linear"
"15",1,1.2,1.10980506252781,"Exp1","mixed","IP",0,1.39700865558787,0.198934334299583,1.39650623289219,0.314907594207292,0,0.200194525655004,0.314907594207292,0.685092405792708,0.314907594207292,0.314907594207292,"all","linear"
"16",1,0.475682846001088,0.677874254755807,"Exp1","mixed","IP",0,0.556065092368594,0.094405836791202,0.556077042633612,0.650973422759874,0,0.940664287472579,0.650973422759874,0.349026577240126,0.650973422759874,0.650973422759874,"all","linear"
"17",1,0.8,0.845924786728574,"Exp1","mixed","IP",0,0.631642129082915,0.0986814384482126,0.631674131305337,0.838807582501984,0,0.902777931958596,0.838807582501984,0.161192417498016,0.838807582501984,0.838807582501984,"all","linear"
