"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_DL_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"11",11,352,1,2.4,1.30997300482886,"Exp1","mixed","LGM",0.126890009820821,1.83091550095503,0.233604944930908,1.82985071427522,0.46673772476424,0.0163922320007249,0.0408878596533913,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"12",12,353,1,1.2,1.34996815316299,"Exp1","mixed","LGM",0.126890009820821,1.32556578969406,0.17758102503031,1.32630924658785,0.46673772476424,0.0163922320007249,0.307933805523249,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"13",13,354,1,0.475682846001088,0.589955215385999,"Exp1","mixed","LGM",0.0755116057759463,0.565739016541088,0.0944377842761278,0.566294687049157,0.702751866866986,0.00913726806934641,0.933018850306847,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"14",14,355,1,0.4,0.421965018240371,"Exp1","mixed","LGM",0.0755116057759463,0.539447236060993,0.0931242234810009,0.539656727565604,0.702751866866986,0.00913726806934641,0.95987592091607,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"15",15,356,1,1.2,1.10980506252781,"Exp1","mixed","LGM",0.126890009820821,1.32556578969406,0.17758102503031,1.32512026817407,0.46673772476424,0.0163922320007249,0.31018108504665,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"16",16,357,1,0.475682846001088,0.677874254755807,"Exp1","mixed","LGM",0.0755116057759463,0.565739016541088,0.0944377842761278,0.565973435320503,0.702751866866986,0.00913726806934641,0.941828231990144,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"17",17,358,1,0.8,0.845924786728574,"Exp1","mixed","LGM",0.0755116057759463,0.652563704858082,0.0990732029842585,0.653022751488225,0.702751866866986,0.00913726806934641,0.892014832251159,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"18",18,359,1,1.42704853800327,1.02194853501533,"Exp1","mixed","LGM",0.126890009820821,1.43700107220663,0.18968229484664,1.43762311613088,0.46673772476424,0.0163922320007249,0.246837806835741,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"19",19,360,1,2.01815139660892,1.8299500527155,"Exp1","mixed","LGM",0.126890009820821,1.68884812737359,0.21759600385785,1.68743888295177,0.46673772476424,0.0163922320007249,0.109245190500156,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"20",20,361,1,2.4,2.0058994709816,"Exp1","mixed","LGM",0.126890009820821,1.83091550095503,0.233604944930908,1.83085622012743,0.46673772476424,0.0163922320007249,0.039366253836271,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"21",21,363,1,1.42704853800327,1.67002015307662,"Exp1","mixed","LGM",0.126890009820821,1.43700107220663,0.18968229484664,1.43632718319467,0.46673772476424,0.0163922320007249,0.242625578759397,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"22",22,364,1,0.8,0.790006220084251,"Exp1","mixed","LGM",0.0755116057759463,0.652563704858082,0.0990732029842585,0.653265374379852,0.702751866866986,0.00913726806934641,0.891339684321616,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"23",23,365,1,1.2,0.909894631755378,"Exp1","mixed","LGM",0.126890009820821,1.32556578969406,0.17758102503031,1.32553269213374,0.46673772476424,0.0163922320007249,0.311382155652027,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"24",24,366,1,2.01815139660892,1.62989500496042,"Exp1","mixed","LGM",0.126890009820821,1.68884812737359,0.21759600385785,1.68959245411077,0.46673772476424,0.0163922320007249,0.1085501761475,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"25",25,367,1,0.475682846001088,0.501850506469054,"Exp1","mixed","LGM",0.0755116057759463,0.565739016541088,0.0944377842761278,0.566190448730238,0.702751866866986,0.00913726806934641,0.937327356550161,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"26",26,368,1,0.475682846001088,0.413932400113481,"Exp1","mixed","LGM",0.0755116057759463,0.565739016541088,0.0944377842761278,0.566026739438481,0.702751866866986,0.00913726806934641,0.943099424573662,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"27",27,369,1,0.4,0.429897181989872,"Exp1","mixed","LGM",0.0755116057759463,0.539447236060993,0.0931242234810009,0.539058781819847,0.702751866866986,0.00913726806934641,0.954235317240044,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"28",28,370,1,2.4,1.34202914731941,"Exp1","mixed","LGM",0.126890009820821,1.83091550095503,0.233604944930908,1.8309586782533,0.46673772476424,0.0163922320007249,0.0355919227454968,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"29",29,373,1,0.4,0.605839136154827,"Exp1","mixed","LGM",0.0755116057759463,0.539447236060993,0.0931242234810009,0.539250864266074,0.702751866866986,0.00913726806934641,0.959984862057619,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"30",30,374,1,0.4,0.397849747620057,"Exp1","mixed","LGM",0.0755116057759463,0.539447236060993,0.0931242234810009,0.539332723254907,0.702751866866986,0.00913726806934641,0.956074596512454,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"31",31,375,1,0.565685424949238,0.69388786430136,"Exp1","mixed","LGM",0.0755116057759463,0.593313424037954,0.0958618759359634,0.593567298140794,0.702751866866986,0.00913726806934641,0.922464134157162,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"32",32,376,1,1.42704853800327,1.58189647290055,"Exp1","mixed","LGM",0.126890009820821,1.43700107220663,0.18968229484664,1.43648623135833,0.46673772476424,0.0163922320007249,0.246259711365024,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"33",33,377,1,1.69705627484772,1.8699427130141,"Exp1","mixed","LGM",0.126890009820821,1.55783047124988,0.202989118671833,1.55858600139933,0.46673772476424,0.0163922320007249,0.179405237950801,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"34",34,381,1,0.565685424949238,0.661961099585824,"Exp1","mixed","LGM",0.0755116057759463,0.593313424037954,0.0958618759359634,0.592993090275347,0.702751866866986,0.00913726806934641,0.924791913879588,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"35",35,382,1,0.8,0.805910667135322,"Exp1","mixed","LGM",0.0755116057759463,0.652563704858082,0.0990732029842585,0.65333539526271,0.702751866866986,0.00913726806934641,0.89491926923918,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"36",36,383,1,2.4,2.10982278976917,"Exp1","mixed","LGM",0.126890009820821,1.83091550095503,0.233604944930908,1.83023980774318,0.46673772476424,0.0163922320007249,0.0372390783111164,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"37",37,384,1,0.565685424949238,0.493904036524327,"Exp1","mixed","LGM",0.0755116057759463,0.593313424037954,0.0958618759359634,0.593191028390192,0.702751866866986,0.00913726806934641,0.925477728958063,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"38",38,385,1,1.42704853800327,1.20592715036037,"Exp1","mixed","LGM",0.126890009820821,1.43700107220663,0.18968229484664,1.4382458625813,0.46673772476424,0.0163922320007249,0.243676551185406,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"39",39,386,1,0.672717132202972,0.956879289915378,"Exp1","mixed","LGM",0.0755116057759463,0.622233089460025,0.0974042981785311,0.622594010824441,0.702751866866986,0.00913726806934641,0.910330463727773,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"40",40,387,1,0.8,0.680590565996681,"Exp1","mixed","LGM",0.0755116057759463,0.652563704858082,0.0990732029842585,0.652489976773609,0.702751866866986,0.00913726806934641,0.890552826270973,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"41",41,388,1,0.4,0.365864203098681,"Exp1","mixed","LGM",0.0755116057759463,0.539447236060993,0.0931242234810009,0.539834796312158,0.702751866866986,0.00913726806934641,0.955566809898316,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"42",42,390,1,1.69705627484772,1.74986987581542,"Exp1","mixed","LGM",0.126890009820821,1.55783047124988,0.202989118671833,1.55811697423059,0.46673772476424,0.0163922320007249,0.174066561050649,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"43",43,391,1,1.42704853800327,1.63790802981748,"Exp1","mixed","LGM",0.126890009820821,1.43700107220663,0.18968229484664,1.43676656309415,0.46673772476424,0.0163922320007249,0.246150478843703,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"44",44,392,1,1.2,1.50995963164678,"Exp1","mixed","LGM",0.126890009820821,1.32556578969406,0.17758102503031,1.32606115836518,0.46673772476424,0.0163922320007249,0.307572951473144,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"45",45,393,1,2.4,1.2698699380162,"Exp1","mixed","LGM",0.126890009820821,1.83091550095503,0.233604944930908,1.83011715790193,0.46673772476424,0.0163922320007249,0.0372960334880077,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"46",46,395,1,0.475682846001088,0.557911513065847,"Exp1","mixed","LGM",0.0755116057759463,0.565739016541088,0.0944377842761278,0.566258013719732,0.702751866866986,0.00913726806934641,0.938303792197922,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"47",47,396,1,0.672717132202972,0.571612494906731,"Exp1","mixed","LGM",0.0755116057759463,0.622233089460025,0.0974042981785311,0.621366158091472,0.702751866866986,0.00913726806934641,0.903781294657878,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"48",48,397,1,0.4,0.413922447976802,"Exp1","mixed","LGM",0.0755116057759463,0.539447236060993,0.0931242234810009,0.54029099844001,0.702751866866986,0.00913726806934641,0.952720514832772,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"49",49,398,1,2.01815139660892,1.56589841356617,"Exp1","mixed","LGM",0.126890009820821,1.68884812737359,0.21759600385785,1.68839746844562,0.46673772476424,0.0163922320007249,0.105377522522908,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"50",50,399,1,1.69705627484772,1.34987422987615,"Exp1","mixed","LGM",0.126890009820821,1.55783047124988,0.202989118671833,1.55797463080221,0.46673772476424,0.0163922320007249,0.172553780058245,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"51",51,401,1,2.01815139660892,1.81373926646484,"Exp1","mixed","LGM",0.126890009820821,1.68884812737359,0.21759600385785,1.68976943565768,0.46673772476424,0.0163922320007249,0.107945862430239,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"52",52,402,1,2.4,2.02989469395652,"Exp1","mixed","LGM",0.126890009820821,1.83091550095503,0.233604944930908,1.83101459031712,0.46673772476424,0.0163922320007249,0.0285188675591994,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"53",53,403,1,1.69705627484772,1.86184665001747,"Exp1","mixed","LGM",0.126890009820821,1.55783047124988,0.202989118671833,1.55769678555889,0.46673772476424,0.0163922320007249,0.176685552349282,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"54",54,405,1,0.4,0.531138089001615,"Exp1","mixed","LGM",0.0755116057759463,0.539447236060993,0.0931242234810009,0.539323381007685,0.702751866866986,0.00913726806934641,0.958931545751028,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"55",55,406,1,0.8,0.709556881125536,"Exp1","mixed","LGM",0.0755116057759463,0.652563704858082,0.0990732029842585,0.652051542978375,0.702751866866986,0.00913726806934641,0.885487100941158,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"56",56,407,1,2.4,1.70583913615337,"Exp1","mixed","LGM",0.126890009820821,1.83091550095503,0.233604944930908,1.83226332799353,0.46673772476424,0.0163922320007249,0.0340991526945278,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"57",57,408,1,1.2,1.30996802876143,"Exp1","mixed","LGM",0.126890009820821,1.32556578969406,0.17758102503031,1.32718373081539,0.46673772476424,0.0163922320007249,0.304788984232846,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"58",58,410,1,1.69705627484772,1.6938788451771,"Exp1","mixed","LGM",0.126890009820821,1.55783047124988,0.202989118671833,1.55688837007609,0.46673772476424,0.0163922320007249,0.17696433566089,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"59",59,411,1,2.01815139660892,1.54183228162037,"Exp1","mixed","LGM",0.126890009820821,1.68884812737359,0.21759600385785,1.69054336511239,0.46673772476424,0.0163922320007249,0.108823202521271,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"60",60,412,1,2.01815139660892,1.8539085771863,"Exp1","mixed","LGM",0.126890009820821,1.68884812737359,0.21759600385785,1.69076307383908,0.46673772476424,0.0163922320007249,0.103047692865911,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"61",61,414,1,0.565685424949238,0.581904870015933,"Exp1","mixed","LGM",0.0755116057759463,0.593313424037954,0.0958618759359634,0.592868465674535,0.702751866866986,0.00913726806934641,0.924847256478086,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"62",62,415,1,0.672717132202972,0.669849722738945,"Exp1","mixed","LGM",0.0755116057759463,0.622233089460025,0.0974042981785311,0.621762857714529,0.702751866866986,0.00913726806934641,0.904220590597144,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"63",63,416,1,1.2,1.20595762877929,"Exp1","mixed","LGM",0.126890009820821,1.32556578969406,0.17758102503031,1.32623902466275,0.46673772476424,0.0163922320007249,0.315931050665999,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"64",64,417,1,0.475682846001088,0.645903327435008,"Exp1","mixed","LGM",0.0755116057759463,0.565739016541088,0.0944377842761278,0.566333088567654,0.702751866866986,0.00913726806934641,0.944319740254646,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"65",65,418,1,0.672717132202972,0.544461511666668,"Exp1","mixed","LGM",0.0755116057759463,0.622233089460025,0.0974042981785311,0.622095974332856,0.702751866866986,0.00913726806934641,0.910936721320373,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"66",66,419,1,0.475682846001088,0.453901113083703,"Exp1","mixed","LGM",0.0755116057759463,0.565739016541088,0.0944377842761278,0.565187038723358,0.702751866866986,0.00913726806934641,0.942371709145577,0.649685944937816,0.274802449286238,0.649685944937816,0.649685944937816,"part1"
"67",67,420,1,1.42704853800327,1.54987049782358,"Exp1","mixed","LGM",0.126890009820821,1.43700107220663,0.18968229484664,1.43726271319844,0.46673772476424,0.0163922320007249,0.246589180766073,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"68",68,421,1,2.4,1.73387648154676,"Exp1","mixed","LGM",0.126890009820821,1.83091550095503,0.233604944930908,1.83099786447385,0.46673772476424,0.0163922320007249,0.0390895183118023,0.407513370285158,0.465596619894022,0.407513370285158,0.407513370285158,"part1"
"69",69,422,1,0.475682846001088,0.501904932216348,"Exp1","mixed","LGM",0.0832598361989109,0.571274339376546,0.0945961593878599,0.571316978199707,0.702751866866986,0.00913726806934641,0.935051389749191,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"70",70,423,1,0.565685424949238,0.661871219353998,"Exp1","mixed","LGM",0.0832598361989109,0.59887868306404,0.0960209252009964,0.599020610931929,0.702751866866986,0.00913726806934641,0.925880885914383,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"71",71,425,1,1.42704853800327,1.60592372931387,"Exp1","mixed","LGM",0.139164380511935,1.44164748388075,0.189071457868981,1.44190354660779,0.46673772476424,0.0163922320007249,0.242234511072229,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"72",72,426,1,0.565685424949238,0.565891882477445,"Exp1","mixed","LGM",0.0832598361989109,0.59887868306404,0.0960209252009964,0.598439866624562,0.702751866866986,0.00913726806934641,0.919733601652813,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"73",73,427,1,0.565685424949238,0.66255107467623,"Exp1","mixed","LGM",0.0832598361989109,0.59887868306404,0.0960209252009964,0.598870779530011,0.702751866866986,0.00913726806934641,0.918777231708825,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"74",74,428,1,0.672717132202972,0.573836175393808,"Exp1","mixed","LGM",0.0832598361989109,0.627818217659985,0.0975628888268409,0.627305351296386,0.702751866866986,0.00913726806934641,0.911553777598169,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"75",75,429,1,0.475682846001088,0.741777233864923,"Exp1","mixed","LGM",0.0832598361989109,0.571274339376546,0.0945961593878599,0.570833267104891,0.702751866866986,0.00913726806934641,0.939926155777219,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"76",76,430,1,0.4,0.397953312040045,"Exp1","mixed","LGM",0.0832598361989109,0.544943528602879,0.0932809468365028,0.544822306972506,0.702751866866986,0.00913726806934641,0.950722634613276,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"77",77,431,1,1.42704853800327,1.38200750142278,"Exp1","mixed","LGM",0.139164380511935,1.44164748388075,0.189071457868981,1.44182123070436,0.46673772476424,0.0163922320007249,0.24646241457766,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"78",78,433,1,2.01815139660892,1.72585381555473,"Exp1","mixed","LGM",0.139164380511935,1.69047556268724,0.216436115588767,1.69077665701566,0.46673772476424,0.0163922320007249,0.111011203919072,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"79",79,434,1,0.4,0.445909547519477,"Exp1","mixed","LGM",0.0832598361989109,0.544943528602879,0.0932809468365028,0.544324192364377,0.702751866866986,0.00913726806934641,0.955028671716391,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"80",80,436,1,1.69705627484772,1.35792239821603,"Exp1","mixed","LGM",0.139164380511935,1.56109825402442,0.202124643215408,1.56103473822875,0.46673772476424,0.0163922320007249,0.181554734250601,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"81",81,437,1,1.69705627484772,1.21401015117772,"Exp1","mixed","LGM",0.139164380511935,1.56109825402442,0.202124643215408,1.56121194352105,0.46673772476424,0.0163922320007249,0.180124440849003,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"82",82,438,1,0.8,0.789897368593302,"Exp1","mixed","LGM",0.0832598361989109,0.658157589306084,0.099230035194393,0.658356606862717,0.702751866866986,0.00913726806934641,0.893559141477323,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"83",83,439,1,0.565685424949238,0.59789919729883,"Exp1","mixed","LGM",0.0832598361989109,0.59887868306404,0.0960209252009964,0.598206395764701,0.702751866866986,0.00913726806934641,0.929560789167364,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"84",84,440,1,2.4,1.46983666055894,"Exp1","mixed","LGM",0.139164380511935,1.83060676291248,0.2321031861856,1.82998184348156,0.46673772476424,0.0163922320007249,0.0459247486603491,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"85",85,441,1,0.4,0.429879454746697,"Exp1","mixed","LGM",0.0832598361989109,0.544943528602879,0.0932809468365028,0.544868013623773,0.702751866866986,0.00913726806934641,0.952949939108848,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"86",86,442,1,1.42704853800327,1.59790603939109,"Exp1","mixed","LGM",0.139164380511935,1.44164748388075,0.189071457868981,1.44078537841776,0.46673772476424,0.0163922320007249,0.254618861944189,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"87",87,443,1,0.672717132202972,0.669860918893391,"Exp1","mixed","LGM",0.0832598361989109,0.627818217659985,0.0975628888268409,0.62824110457187,0.702751866866986,0.00913726806934641,0.914554761093698,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"88",88,444,1,0.475682846001088,0.668013242562665,"Exp1","mixed","LGM",0.0832598361989109,0.571274339376546,0.0945961593878599,0.571138184396579,0.702751866866986,0.00913726806934641,0.945252121217767,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"89",89,445,1,0.475682846001088,0.550002363632302,"Exp1","mixed","LGM",0.0832598361989109,0.571274339376546,0.0945961593878599,0.571807418265816,0.702751866866986,0.00913726806934641,0.933965819725882,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"90",90,447,1,0.672717132202972,0.59791754654907,"Exp1","mixed","LGM",0.0832598361989109,0.627818217659985,0.0975628888268409,0.627942487631676,0.702751866866986,0.00913726806934641,0.908570467602254,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"91",91,449,1,2.4,1.89395379720554,"Exp1","mixed","LGM",0.139164380511935,1.83060676291248,0.2321031861856,1.83134661706591,0.46673772476424,0.0163922320007249,0.0457290674686541,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"92",92,450,1,0.8,0.773848304559579,"Exp1","mixed","LGM",0.0832598361989109,0.658157589306084,0.099230035194393,0.658154784801528,0.702751866866986,0.00913726806934641,0.891878366926881,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"93",93,451,1,1.2,1.30197739620962,"Exp1","mixed","LGM",0.139164380511935,1.33135971289221,0.177186287187861,1.3326336879663,0.46673772476424,0.0163922320007249,0.320071871142789,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"94",94,452,1,1.2,0.893990184706126,"Exp1","mixed","LGM",0.139164380511935,1.33135971289221,0.177186287187861,1.331700448069,0.46673772476424,0.0163922320007249,0.310756069650387,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"95",95,453,1,2.01815139660892,1.82189721931172,"Exp1","mixed","LGM",0.139164380511935,1.69047556268724,0.216436115588767,1.68919032005814,0.46673772476424,0.0163922320007249,0.112135782986617,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"96",96,454,1,2.01815139660892,1.24589493031817,"Exp1","mixed","LGM",0.139164380511935,1.69047556268724,0.216436115588767,1.6900412969288,0.46673772476424,0.0163922320007249,0.111263574126223,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"97",97,456,1,1.42704853800327,1.28592708815995,"Exp1","mixed","LGM",0.139164380511935,1.44164748388075,0.189071457868981,1.44172981846015,0.46673772476424,0.0163922320007249,0.246706839436219,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"98",98,457,1,1.69705627484772,1.5899163398517,"Exp1","mixed","LGM",0.139164380511935,1.56109825402442,0.202124643215408,1.56084654092225,0.46673772476424,0.0163922320007249,0.185014381154641,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"99",99,458,1,0.8,0.797949579988199,"Exp1","mixed","LGM",0.0832598361989109,0.658157589306084,0.099230035194393,0.657752490158053,0.702751866866986,0.00913726806934641,0.886918010784284,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"100",100,460,1,1.69705627484772,1.44590674848223,"Exp1","mixed","LGM",0.139164380511935,1.56109825402442,0.202124643215408,1.56166929073235,0.46673772476424,0.0163922320007249,0.179135158193485,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"101",101,461,1,1.69705627484772,1.87799523541435,"Exp1","mixed","LGM",0.139164380511935,1.56109825402442,0.202124643215408,1.5596561604109,0.46673772476424,0.0163922320007249,0.181821430170867,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"102",102,462,1,0.4,0.454018983698916,"Exp1","mixed","LGM",0.0832598361989109,0.544943528602879,0.0932809468365028,0.545416046070633,0.702751866866986,0.00913726806934641,0.953548691889737,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
"103",103,463,1,1.2,1.26189609969515,"Exp1","mixed","LGM",0.139164380511935,1.33135971289221,0.177186287187861,1.33275068819351,0.46673772476424,0.0163922320007249,0.316041871659902,0.401784458435874,0.459051161052191,0.401784458435874,0.401784458435874,"part2"
"104",104,464,1,0.4,0.461929999159111,"Exp1","mixed","LGM",0.0832598361989109,0.544943528602879,0.0932809468365028,0.544618714716218,0.702751866866986,0.00913726806934641,0.95190342509987,0.644240861543162,0.272499302257927,0.644240861543162,0.644240861543162,"part2"
